DATE,ATNHPIUS11180Q
1986-10-01,67.46
1987-01-01,67.74
1987-04-01,70.2
1987-07-01,69.05
1987-10-01,69.02
1988-01-01,67.88
1988-04-01,71.61
1988-07-01,71.12
1988-10-01,71.58
1989-01-01,73.32
1989-04-01,70.89
1989-07-01,74.43
1989-10-01,74.41
1990-01-01,76.03
1990-04-01,76.39
1990-07-01,78.57
1990-10-01,78.66
1991-01-01,81.01
1991-04-01,80.07
1991-07-01,81.98
1991-10-01,84.27
1992-01-01,84.86
1992-04-01,85.7
1992-07-01,88.22
1992-10-01,87.54
1993-01-01,90
1993-04-01,90.81
1993-07-01,93.21
1993-10-01,93.89
1994-01-01,94.94
1994-04-01,99.05
1994-07-01,98.29
1994-10-01,100.16
1995-01-01,100.00
1995-04-01,101.83
1995-07-01,105.56
1995-10-01,105.66
1996-01-01,106
1996-04-01,108.36
1996-07-01,108.73
1996-10-01,108.02
1997-01-01,112.68
1997-04-01,114.27
1997-07-01,114.65
1997-10-01,116.47
1998-01-01,116.41
1998-04-01,117.97
1998-07-01,121.14
1998-10-01,122.25
1999-01-01,122.99
1999-04-01,125.51
1999-07-01,126.08
1999-10-01,125.34
2000-01-01,126.17
2000-04-01,129.14
2000-07-01,130.84
2000-10-01,132.03
2001-01-01,133.98
2001-04-01,135.81
2001-07-01,137.11
2001-10-01,138.59
2002-01-01,139.95
2002-04-01,139.37
2002-07-01,141.97
2002-10-01,143.1
2003-01-01,143.57
2003-04-01,144.33
2003-07-01,147.09
2003-10-01,151.11
2004-01-01,151.02
2004-04-01,153.78
2004-07-01,154.7
2004-10-01,155.09
2005-01-01,155.6
2005-04-01,158.75
2005-07-01,162.37
2005-10-01,161.84
2006-01-01,162.77
2006-04-01,163.65
2006-07-01,161.86
2006-10-01,164.14
2007-01-01,165.28
2007-04-01,168.11
2007-07-01,167.14
2007-10-01,167.93
2008-01-01,169.13
2008-04-01,166.87
2008-07-01,166.26
2008-10-01,166.96
2009-01-01,169.01
2009-04-01,168.12
2009-07-01,166.28
2009-10-01,167.09
2010-01-01,162.71
2010-04-01,166.29
2010-07-01,166.71
2010-10-01,167.31
2011-01-01,162.72
2011-04-01,162.09
2011-07-01,165.76
2011-10-01,166.09
2012-01-01,165.83
2012-04-01,164.73
2012-07-01,166.65
2012-10-01,167.47
2013-01-01,168.68
2013-04-01,168.97
2013-07-01,171.02
2013-10-01,175.44
2014-01-01,171.96
2014-04-01,176.42
2014-07-01,178.31
2014-10-01,179.94
2015-01-01,178.42
2015-04-01,182.19
2015-07-01,183.15
2015-10-01,186.03
2016-01-01,187.6
2016-04-01,191.83
2016-07-01,192.04
2016-10-01,194.37
2017-01-01,191.95
2017-04-01,200.48
2017-07-01,204.3
2017-10-01,203.7
2018-01-01,199.46
2018-04-01,209.31
2018-07-01,208.32
2018-10-01,206.73
2019-01-01,212.49
2019-04-01,215
2019-07-01,216.39
2019-10-01,218.14
2020-01-01,218.66
2020-04-01,218.73
